placebo_id,pop_share_grp1,boundary_len_m,obj_on,obj_off,bound_on,bound_off,status_on,status_off,cost
73,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
74,0.2756181143007598,125680.49174473468,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
75,0.2720689972209814,150682.30680099124,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
76,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
77,0.4341932766940978,123142.56468102496,0.29421792988642415,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.009556466431283384
78,0.4500020918421413,166752.5805800191,0.3104298824127847,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.025768418957643924
79,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
80,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
81,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
82,0.3205974802195657,173495.44296774874,0.3645514182897942,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07988995483465344
83,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
84,0.3011636404266155,134626.69899308338,0.3109352199289195,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.02627375647377872
85,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
86,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
87,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
88,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
89,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
90,0.3897760776932718,175206.35190578544,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
91,0.345438794577845,111397.67103538816,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
92,0.2998884935404666,170051.07741255563,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
