muni_code,pref,muni_name,year,pop_ipss,growth
26322,京都府,久御山町,2025,14457,0.948
26343,京都府,井手町,2025,6851,0.9250607615446935
26344,京都府,宇治田原町,2025,8461,0.9495006172146785
26364,京都府,笠置町,2025,970,0.8479020979020979
26365,京都府,和束町,2025,3070,0.882691201840138
26366,京都府,精華町,2025,34638,0.9569036963368142
26367,京都府,南山城村,2025,2128,0.890004182350481
26407,京都府,京丹波町,2025,11400,0.8832416518168436
26463,京都府,伊根町,2025,1748,0.9066390041493776
26465,京都府,与謝野町,2025,18278,0.9097153095759506
25201,滋賀県,大津市,2030,345055,0.999956530559017
25202,滋賀県,彦根市,2030,108998,0.9590926289299322
25203,滋賀県,長浜市,2030,103885,0.9141909254109614
25204,滋賀県,近江八幡市,2030,78094,0.9626735041049284
25206,滋賀県,草津市,2030,149691,1.0401492568426758
25207,滋賀県,守山市,2030,86433,1.0384088615502907
25208,滋賀県,栗東市,2030,70241,1.0206480674222609
25209,滋賀県,甲賀市,2030,81807,0.9258584395300935
25210,滋賀県,野洲市,2030,49299,0.9759665828598578
25211,滋賀県,湖南市,2030,52067,0.9560594932060228
25212,滋賀県,高島市,2030,40374,0.8705608383465943
25213,滋賀県,東近江市,2030,106771,0.946392008438295
25214,滋賀県,米原市,2030,33907,0.9108663532572197
25383,滋賀県,日野町,2030,19331,0.9221045601984355
25384,滋賀県,竜王町,2030,10729,0.9100856730850793
25425,滋賀県,愛荘町,2030,20718,0.9916239888958024
25441,滋賀県,豊郷町,2030,6763,0.9482613572630398
25442,滋賀県,甲良町,2030,5275,0.8291417793146809
25443,滋賀県,多賀町,2030,6693,0.9201264778663734
26101,京都府,京都市北区,2030,111030,0.9476379464857253
26102,京都府,京都市上京区,2030,82201,0.9805444221776887
26103,京都府,京都市左京区,2030,161276,0.9713139684050133
26104,京都府,京都市中京区,2030,111673,1.0107251466222575
26105,京都府,京都市東山区,2030,34032,0.9297852576361948
26106,京都府,京都市下京区,2030,83959,1.0141935639737147
26107,京都府,京都市南区,2030,101079,0.9912621359223301
26108,京都府,京都市右京区,2030,195752,0.9688438828589387
26109,京都府,京都市伏見区,2030,263396,0.9479518315110596
26110,京都府,京都市山科区,2030,128470,0.9509182019378095
26111,京都府,京都市西京区,2030,138996,0.9276480442080394
26201,京都府,福知山市,2030,72613,0.9392931984580757
26202,京都府,舞鶴市,2030,71362,0.888294164509062
26203,京都府,綾部市,2030,27868,0.8750863530741695
26204,京都府,宇治市,2030,165299,0.9202193397539387
26205,京都府,宮津市,2030,13629,0.8132832080200502
26206,京都府,亀岡市,2030,78412,0.9099264279248961
26207,京都府,城陽市,2030,67413,0.9035747315935502
26208,京都府,向日市,2030,54918,0.9658629240753442
26209,京都府,長岡京市,2030,77941,0.9669139539499801
26210,京都府,八幡市,2030,64299,0.9129101415529652
26211,京都府,京田辺市,2030,75083,1.0180331647526202
26212,京都府,京丹後市,2030,42996,0.8453794730633111
26213,京都府,南丹市,2030,28420,0.8985424768408738
26214,京都府,木津川市,2030,81640,1.0479161050996701
26303,京都府,大山崎町,2030,16037,1.0052654673102237
26322,京都府,久御山町,2030,13590,0.8911475409836066
26343,京都府,井手町,2030,6281,0.8480961382662706
26344,京都府,宇治田原町,2030,7969,0.8942879587027269
26364,京都府,笠置町,2030,825,0.7211538461538461
26365,京都府,和束町,2030,2674,0.7688326624496837
26366,京都府,精華町,2030,33726,0.9317089341952594
26367,京都府,南山城村,2030,1862,0.7787536595566709
26407,京都府,京丹波町,2030,10220,0.7918183931200123
26463,京都府,伊根町,2030,1579,0.8189834024896265
26465,京都府,与謝野町,2030,16672,0.8297829982082421
25201,滋賀県,大津市,2035,341592,0.989920885617411
25202,滋賀県,彦根市,2035,107071,0.9421366160127412
25203,滋賀県,長浜市,2035,98656,0.8681755781618501
25204,滋賀県,近江八幡市,2035,75983,0.9366509701437341
25206,滋賀県,草津市,2035,149947,1.0419281093438397
25207,滋賀県,守山市,2035,86864,1.043586909510308
25208,滋賀県,栗東市,2035,70195,1.0199796570764312
25209,滋賀県,甲賀市,2035,78090,0.8837909413974966
25210,滋賀県,野洲市,2035,48265,0.955496604834399
25211,滋賀県,湖南市,2035,50324,0.924054351817848
25212,滋賀県,高島市,2035,37326,0.8048386053431658
25213,滋賀県,東近江市,2035,103210,0.9148281761050887
25214,滋賀県,米原市,2035,32137,0.8633176628609806
25383,滋賀県,日野町,2035,18424,0.878839916046556
25384,滋賀県,竜王町,2035,10050,0.8524896089575028
25425,滋賀県,愛荘町,2035,20474,0.9799454362705212
25441,滋賀県,豊郷町,2035,6538,0.9167134043746494
25442,滋賀県,甲良町,2035,4738,0.7447343602640679
25443,滋賀県,多賀町,2035,6347,0.8725598020346439
26101,京都府,京都市北区,2035,107102,0.9141125762813127
26102,京都府,京都市上京区,2035,80629,0.9617926328848172
26103,京都府,京都市左京区,2035,157672,0.9496082245737447
26104,京都府,京都市中京区,2035,111335,1.0076659908768373
26105,京都府,京都市東山区,2035,32641,0.891781869843178
26106,京都府,京都市下京区,2035,83928,1.013819095477387
26107,京都府,京都市南区,2035,99732,0.9780523683436305
26108,京都府,京都市右京区,2035,191203,0.9463293194157795
26109,京都府,京都市伏見区,2035,253759,0.9132686480144534
26110,京都府,京都市山科区,2035,123886,0.9169880311766753
26111,京都府,京都市西京区,2035,133567,0.8914153380006273
26201,京都府,福知山市,2035,70154,0.907484541950172
26202,京都府,舞鶴市,2035,66865,0.8323167695678152
26203,京都府,綾部市,2035,26003,0.816523268228349
26204,京都府,宇治市,2035,156748,0.8726159327506541
26205,京都府,宮津市,2035,12232,0.7299200381907149
26206,京都府,亀岡市,2035,73702,0.8552695708682433
26207,京都府,城陽市,2035,62935,0.8435535539560631
26208,京都府,向日市,2035,53804,0.9462705992015337
26209,京都府,長岡京市,2035,76016,0.943032949583168
26210,京都府,八幡市,2035,60651,0.8611162381270143
26211,京都府,京田辺市,2035,74255,1.0068065027863273
26212,京都府,京丹後市,2035,39243,0.771588674793551
26213,京都府,南丹市,2035,26759,0.8460273799361345
26214,京都府,木津川市,2035,81965,1.0520877456454492
26303,京都府,大山崎町,2035,15812,0.9911615370149816
26322,京都府,久御山町,2035,12684,0.8317377049180328
26343,京都府,井手町,2035,5702,0.7699162840939778
26344,京都府,宇治田原町,2035,7432,0.8340253619122433
26364,京都府,笠置町,2035,687,0.6005244755244755
26365,京都府,和束町,2035,2293,0.6592869465209891
26366,京都府,精華町,2035,32585,0.9001878556826344
26367,京都府,南山城村,2035,1603,0.67043078209954
26407,京都府,京丹波町,2035,9067,0.7024870225459053
26463,京都府,伊根町,2035,1409,0.7308091286307054
26465,京都府,与謝野町,2035,15101,0.7515926737009755
25201,滋賀県,大津市,2040,335925,0.9734981308140377
25202,滋賀県,彦根市,2040,104574,0.9201650725492094
25203,滋賀県,長浜市,2040,93313,0.8211570277024887
25204,滋賀県,近江八幡市,2040,73653,0.90792879859964
25206,滋賀県,草津市,2040,148792,1.0339024271608541
25207,滋賀県,守山市,2040,86738,1.0420731414291893
25208,滋賀県,栗東市,2040,69751,1.0135280441732055
25209,滋賀県,甲賀市,2040,74111,0.8387582335498767
25210,滋賀県,野洲市,2040,47043,0.9313048126224932
25211,滋賀県,湖南市,2040,48254,0.8860448035255233
25212,滋賀県,高島市,2040,34240,0.7382970006684347
25213,滋賀県,東近江市,2040,99191,0.8792047438817929
25214,滋賀県,米原市,2040,30313,0.8143183344526528
25383,滋賀県,日野町,2040,17479,0.8337626407174203
25384,滋賀県,竜王町,2040,9309,0.7896344049537705
25425,滋賀県,愛荘町,2040,20174,0.9655865600918968
25441,滋賀県,豊郷町,2040,6306,0.8841839596186203
25442,滋賀県,甲良町,2040,4216,0.6626846903489468
25443,滋賀県,多賀町,2040,6001,0.8249931262029145
26101,京都府,京都市北区,2040,102652,0.8761319506678615
26102,京都府,京都市上京区,2040,78533,0.9367902471609887
26103,京都府,京都市左京区,2040,153019,0.9215846879347623
26104,京都府,京都市中京区,2040,110225,0.9976196510028238
26105,京都府,京都市東山区,2040,31226,0.8531227801759467
26106,京都府,京都市下京区,2040,83218,1.0052425589485892
26107,京都府,京都市南区,2040,97768,0.9587918015102481
26108,京都府,京都市右京区,2040,185938,0.9202710260483947
26109,京都府,京都市伏見区,2040,242813,0.873874425066041
26110,京都府,京都市山科区,2040,118686,0.8784983086727708
26111,京都府,京都市西京区,2040,127605,0.8516254329704946
26201,京都府,福知山市,2040,67598,0.8744211316068611
26202,京都府,舞鶴市,2040,62426,0.7770613423620792
26203,京都府,綾部市,2040,24158,0.7585882057401243
26204,京都府,宇治市,2040,147779,0.8226855202360408
26205,京都府,宮津市,2040,10882,0.6493614989855592
26206,京都府,亀岡市,2040,68670,0.7968760879151484
26207,京都府,城陽市,2040,58329,0.7818167196107604
26208,京都府,向日市,2040,52473,0.9228618160713343
26209,京都府,長岡京市,2040,73898,0.9167576419213974
26210,京都府,八幡市,2040,56770,0.8060142262859739
26211,京都府,京田辺市,2040,72900,0.9884343687714398
26212,京都府,京丹後市,2040,35568,0.6993314982304365
26213,京都府,南丹市,2040,25011,0.7907616427961681
26214,京都府,木津川市,2040,81605,1.0474668515024324
26303,京都府,大山崎町,2040,15548,0.9746129254685639
26322,京都府,久御山町,2040,11754,0.7707540983606558
26343,京都府,井手町,2040,5133,0.6930866864704294
26344,京都府,宇治田原町,2040,6865,0.7703961396027382
26364,京都府,笠置町,2040,564,0.493006993006993
26365,京都府,和束町,2040,1925,0.5534790109258194
26366,京都府,精華町,2040,31348,0.8660146969445826
26367,京都府,南山城村,2040,1351,0.5650355499790882
26407,京都府,京丹波町,2040,7940,0.6151700627566437
26463,京都府,伊根町,2040,1254,0.6504149377593361
26465,京都府,与謝野町,2040,13589,0.6763388413298825
25201,滋賀県,大津市,2045,328470,0.9518938186454923
25202,滋賀県,彦根市,2045,101726,0.8951050181702993
25203,滋賀県,長浜市,2045,87850,0.7730824738639164
25204,滋賀県,近江八幡市,2045,71320,0.879169645718794
25206,滋賀県,草津市,2045,146801,1.0200676797787551
25207,滋賀県,守山市,2045,86113,1.0345643711855448
25208,滋賀県,栗東市,2045,68883,1.0009154315605928
25209,滋賀県,甲賀市,2045,69930,0.7914393716471627
25210,滋賀県,野洲市,2045,45721,0.9051333320135411
25211,滋賀県,湖南市,2045,45967,0.844050679397723
25212,滋賀県,高島市,2045,31196,0.6726610173146171
25213,滋賀県,東近江市,2045,94748,0.839823079445838
25214,滋賀県,米原市,2045,28481,0.7651040967092008
25383,滋賀県,日野町,2045,16477,0.7859664186224004
25384,滋賀県,竜王町,2045,8564,0.7264399016031894
25425,滋賀県,愛荘町,2045,19754,0.9454841334418226
25441,滋賀県,豊郷町,2045,6066,0.8505328098710039
25442,滋賀県,甲良町,2045,3729,0.5861364350833072
25443,滋賀県,多賀町,2045,5660,0.778113830079736
26101,京都府,京都市北区,2045,98318,0.8391413818119746
26102,京都府,京都市上京区,2045,76703,0.9149608741292108
26103,京都府,京都市左京区,2045,147930,0.8909352621974356
26104,京都府,京都市中京区,2045,108605,0.9829574252407501
26105,京都府,京都市東山区,2045,30034,0.8205562537566253
26106,京都府,京都市下京区,2045,81991,0.9904208542713567
26107,京都府,京都市南区,2045,95367,0.935245660488379
26108,京都府,京都市右京区,2045,180407,0.8928962073180993
26109,京都府,京都市伏見区,2045,231323,0.8325223675402543
26110,京都府,京都市山科区,2045,113495,0.8400752029962768
26111,京都府,京都市西京区,2045,121570,0.811348331853948
26201,京都府,福知山市,2045,64882,0.8392880242154555
26202,京都府,舞鶴市,2045,58027,0.7223038239394542
26203,京都府,綾部市,2045,22346,0.701689380141933
26204,京都府,宇治市,2045,138878,0.7731336636419306
26205,京都府,宮津市,2045,9653,0.5760233918128655
26206,京都府,亀岡市,2045,63597,0.7380068234038109
26207,京都府,城陽市,2045,53959,0.7232431273204927
26208,京都府,向日市,2045,51070,0.8981867426440845
26209,京都府,長岡京市,2045,71794,0.8906560142913855
26210,京都府,八幡市,2045,52797,0.7496060085471299
26211,京都府,京田辺市,2045,71305,0.9668081298387862
26212,京都府,京丹後市,2045,32021,0.6295910342115612
26213,京都府,南丹市,2045,23265,0.7355591387650574
26214,京都府,木津川市,2045,80709,1.0359659594131465
26303,京都府,大山崎町,2045,15252,0.9560584216134896
26322,京都府,久御山町,2045,10837,0.7106229508196721
26343,京都府,井手町,2045,4577,0.6180124223602484
26344,京都府,宇治田原町,2045,6276,0.7042980585792841
26364,京都府,笠置町,2045,462,0.40384615384615385
26365,京都府,和束町,2045,1600,0.46003450258769407
26366,京都府,精華町,2045,30041,0.8299077297088236
26367,京都府,南山城村,2045,1129,0.4721873693015475
26407,京都府,京丹波町,2045,6889,0.533741380646161
26463,京都府,伊根町,2045,1114,0.5778008298755186
26465,京都府,与謝野町,2045,12146,0.604519211626518
25201,滋賀県,大津市,2050,320021,0.9274089315211407
25202,滋賀県,彦根市,2050,98671,0.8682235342771917
25203,滋賀県,長浜市,2050,82316,0.7243831180259777
25204,滋賀県,近江八幡市,2050,68995,0.8505091097359533
25206,滋賀県,草津市,2050,144542,1.0043706961845003
25207,滋賀県,守山市,2050,85059,1.0219015810466625
25208,滋賀県,栗東市,2050,67595,0.9821999418773613
25209,滋賀県,甲賀市,2050,65677,0.743305642952534
25210,滋賀県,野洲市,2050,44340,0.8777938352503316
25211,滋賀県,湖南市,2050,43633,0.8011935365405802
25212,滋賀県,高島市,2050,28228,0.6086637773034047
25213,滋賀県,東近江市,2050,90099,0.7986154814348647
25214,滋賀県,米原市,2050,26594,0.7144123572867697
25383,滋賀県,日野町,2050,15444,0.7366914710933028
25384,滋賀県,竜王町,2050,7872,0.6677411145983544
25425,滋賀県,愛荘町,2050,19262,0.9219355765088786
25441,滋賀県,豊郷町,2050,5822,0.816320807627594
25442,滋賀県,甲良町,2050,3274,0.5146180446400503
25443,滋賀県,多賀町,2050,5347,0.7350838603244432
26101,京都府,京都市北区,2050,94363,0.8053855673622669
26102,京都府,京都市上京区,2050,74955,0.8941096478671628
26103,京都府,京都市左京区,2050,143486,0.8641704659748614
26104,京都府,京都市中京区,2050,106528,0.9641590036927087
26105,京都府,京都市東山区,2050,28970,0.7914868039997814
26106,京都府,京都市下京区,2050,80362,0.970743138770777
26107,京都府,京都市南区,2050,92674,0.9088359321369031
26108,京都府,京都市右京区,2050,174995,0.8661103604606849
26109,京都府,京都市伏見区,2050,220074,0.7920376595239295
26110,京都府,京都市山科区,2050,108599,0.8038356488849083
26111,京都府,京都市西京区,2050,115639,0.7717653183125663
26201,京都府,福知山市,2050,62061,0.8027966781362378
26202,京都府,舞鶴市,2050,53813,0.6698491336387173
26203,京都府,綾部市,2050,20624,0.6476166551529234
26204,京都府,宇治市,2050,130285,0.7252964426877471
26205,京都府,宮津市,2050,8512,0.5079365079365079
26206,京都府,亀岡市,2050,58768,0.6819690393854295
26207,京都府,城陽市,2050,50011,0.6703258407388046
26208,京都府,向日市,2050,49646,0.8731423345468615
26209,京都府,長岡京市,2050,69744,0.8652242953552998
26210,京都府,八幡市,2050,48950,0.6949867249726691
26211,京都府,京田辺市,2050,69713,0.9452225672176047
26212,京都府,京丹後市,2050,28614,0.5626032245379473
26213,京都府,南丹市,2050,21578,0.6822220114451927
26214,京都府,木津川市,2050,79398,1.0191382032423273
26303,京都府,大山崎町,2050,14902,0.9341189744875572
26322,京都府,久御山町,2050,9996,0.6554754098360656
26343,京都府,井手町,2050,4062,0.548474210099919
26344,京都府,宇治田原町,2050,5690,0.638536640107732
26364,京都府,笠置町,2050,367,0.3208041958041958
26365,京都府,和束町,2050,1306,0.3755031627372053
26366,京都府,精華町,2050,28670,0.7920327089894469
26367,京都府,南山城村,2050,933,0.39021329987452946
26407,京都府,京丹波町,2050,5928,0.45928565894475865
26463,京都府,伊根町,2050,998,0.5176348547717843
26465,京都府,与謝野町,2050,10761,0.5355863030061716
